Vertices,Edge %,Chromatic Number,Avg Time (ms),Basic Operations,Configurations Tested,Precision
4,12.5,1,0.0120,0,4,0
4,25,2,0.0123,1,4,0
4,50,2,0.0150,2,4,0
4,75,2,0.0072,2,4,0
5,12.5,2,0.0073,1,5,0
5,25,2,0.0083,2,5,0
5,50,3,0.0076,4,5,0
5,75,3,0.0081,4,5,0
6,12.5,2,0.0090,1,6,0
6,25,2,0.0091,2,6,0
6,50,4,0.0095,7,6,0
6,75,4,0.0098,9,6,0
7,12.5,2,0.0099,2,7,0
7,25,2,0.0098,3,7,0
7,50,3,0.0103,7,7,0
7,75,4,0.0121,13,7,0
8,12.5,2,0.0104,3,8,0
8,25,3,0.0108,6,8,0
8,50,4,0.0113,8,8,1
8,75,4,0.0130,14,8,0
9,12.5,2,0.0128,3,9,0
9,25,3,0.0123,7,9,0
9,50,4,0.0139,16,9,0
9,75,5,0.0173,16,9,0
10,12.5,2,0.0184,3,10,0
10,25,3,0.0132,10,10,0
10,50,4,0.0154,12,10,0
10,75,5,0.0204,22,10,0
